Variables,Values
Age,45
Age,63
Age,62
Age,62
Age,73
Age,55
Age,64
Age,40
Age,75
Age,55
Age,40
Age,75
Age,75
Age,56
Age,65
Age,48
Age,54
Age,66
Age,50
Age,56
Age,55
Age,53
Age,56
Age,58
Age,28
Age,55
Age,73
Age,45
Age,70
Age,70
Age,69
Age,50
Age,53
Age,59
Age,72
Age,45
Age,45
Age,60
Age,60
Age,69
Age,65
Age,45
Age,38
Age,48
Age,56
Age,75
Age,32
Age,63
Age,62
Age,25
Age,66
Age,35
Age,45
Age,60
Age,52
Age,56
Age,74
Age,31
Age,70
Age,45
Age,65
Age,51
Age,56
Age,60
Age,69
Age,50
Age,52
Age,58
Age,33
Age,50
Age,64
Age,55
Age,24
Age,55
Age,60
Age,55
Age,32
Age,58
Age,55
Age,35
Age,60
Age,40
Age,45
Age,61
Age,41
Age,52
Age,60
Age,58
Age,60
Age,60
Age,60
Age,65
Age,56
Age,50
Age,65
Age,59
Age,55
Age,55
Age,33
Age,58
Age,60
Age,48
Age,48
Age,50
Age,38
Age,38
Age,65
Age,55
Age,26
Age,65
Age,38
Age,44
Age,56
Age,45
Age,50
Age,60
Age,50
Age,55
Age,50
Age,52
Age,65
Age,55
Age,67
Age,48
Age,40
Age,27
Age,45
Age,40
Age,50
Age,45
Age,32
Age,60
Age,28
Age,32
Age,37
Age,45
Age,50
Age,27
Age,28
Age,56
Age,50
Age,55
Age,45
Age,42
Age,32
Age,45
Age,80
Age,35
Age,35
Age,50
Age,50
Age,30
Age,35
Age,35
Age,50
Age,50
Age,65
Age,40
Age,35
Age,50
Age,50
Age,35
Age,45
Age,60
Age,50
Age,40
Age,60
Age,60
Age,45
Age,50
Age,40
Age,40
Age,60
Age,50
Age,50
Age,40
Age,60
Age,45
Age,60
Age,40
Age,60
Age,39
Age,50
Age,50
Age,45
Age,40
Age,65
Age,65
Age,60
Age,34
Age,61
Age,39
Age,47
Age,48
Age,42
Age,55
Age,50
Age,63
Age,56
Age,65
Age,45
Age,42
Age,40
Age,70
Age,38
Age,30
Age,35
Age,47
Age,70
Age,52
Age,41
Age,42
Age,68
Age,59
Age,62
Age,50
Age,55
Age,50
Age,63
Age,48
Age,45
Age,32
Age,38
Age,40
Age,52
Age,58
Age,56
Age,42
Age,43
Age,58
Age,34
Age,60
Age,67
Age,62
Age,52
Age,63
Age,44
Age,62
Age,62
Age,53
Age,70
Age,48
Age,50
Age,55
Age,62
Age,70
Age,58
Age,54
Age,60
Age,52
Age,73
Age,61
Age,49
Age,28
Age,30
Age,50
Age,24
Age,49
Age,50
Age,55
Age,52
Age,35
Age,55
Age,63
Age,40
Age,47
Age,55
Age,65
Age,65
Age,32
Age,38
Age,38
Age,56
Age,42
Age,56
Age,41
Age,40
Age,67
Age,68
Age,47
Age,36
Age,45
Age,43
Age,35
Age,55
Age,50
Age,37
Age,40
Age,58
Age,33
Age,50
Age,63
Age,40
Age,55
Age,45
Age,40
Age,42
Age,40
Age,60
Age,32
Age,55
Age,55
Age,40
Age,45
Age,43
Age,55
Age,35
Age,40
Age,50
Age,70
Age,40
Age,52
Age,45
Age,47
Age,40
Age,34
Age,51
Age,51
Age,52
Age,45
Age,55
Age,40
Age,55
Age,66
Age,65
Age,40
Age,62
Age,50
Age,38
Age,30
Age,35
Age,35
Age,70
Age,60
Age,55
Age,64
Age,35
Age,57
Age,55
Age,40
Age,60
Age,51
Age,32
Age,36
Age,40
Age,40
Age,40
Age,40
Age,45
Age,50
Age,55
Age,50
Age,60
Age,65
Age,50
Age,65
Age,40
Age,47
Age,40
Age,40
Age,71
Age,69
Age,70
Age,42
Age,38
Age,60
Age,45
Age,50
Age,45
Age,50
Age,35
Education,10
Education,5
Education,5
Education,5
Education,14
Education,10
Education,10
Education,5
Education,10
Education,5
Education,7
Education,1
Education,10
Education,14
Education,5
Education,10
Education,5
Education,12
Education,8
Education,8
Education,5
Education,9
Education,5
Education,5
Education,9
Education,5
Education,4
Education,10
Education,5
Education,8
Education,7
Education,12
Education,3
Education,5
Education,8
Education,5
Education,14
Education,5
Education,5
Education,5
Education,8
Education,7
Education,8
Education,10
Education,7
Education,10
Education,6
Education,8
Education,3
Education,13
Education,10
Education,5
Education,8
Education,8
Education,11
Education,5
Education,10
Education,10
Education,8
Education,10
Education,5
Education,5
Education,10
Education,13
Education,13
Education,5
Education,10
Education,13
Education,14
Education,0
Education,12
Education,5
Education,13
Education,0
Education,8
Education,12
Education,0
Education,10
Education,13
Education,10
Education,1
Education,8
Education,10
Education,0
Education,8
Education,12
Education,12
Education,8
Education,5
Education,3
Education,0
Education,12
Education,3
Education,2
Education,8
Education,4
Education,10
Education,10
Education,12
Education,0
Education,0
Education,8
Education,16
Education,5
Education,8
Education,16
Education,10
Education,9
Education,10
Education,0
Education,8
Education,6
Education,8
Education,8
Education,9
Education,0
Education,0
Education,0
Education,10
Education,0
Education,8
Education,0
Education,10
Education,9
Education,12
Education,12
Education,8
Education,10
Education,0
Education,8
Education,10
Education,0
Education,10
Education,0
Education,8
Education,0
Education,0
Education,10
Education,10
Education,10
Education,0
Education,10
Education,0
Education,10
Education,12
Education,10
Education,12
Education,12
Education,15
Education,1
Education,1
Education,8
Education,14
Education,16
Education,1
Education,5
Education,5
Education,10
Education,10
Education,5
Education,10
Education,10
Education,5
Education,5
Education,10
Education,5
Education,5
Education,5
Education,5
Education,10
Education,10
Education,10
Education,3
Education,5
Education,5
Education,8
Education,3
Education,5
Education,3
Education,10
Education,5
Education,10
Education,5
Education,10
Education,3
Education,5
Education,2
Education,10
Education,10
Education,12
Education,10
Education,5
Education,14
Education,6
Education,14
